review,sentiment
"Den blanke overflaten er ikke vår favoritt , men refleksene vil sannsynligvis ikke være så sjenerende i de sammenhengene en slik skjerm vil bli brukt .",1
"Responstiden var ikke av de aller raskeste , det var etterslep å se på testmaterialet .",1
Men i praktisk spillsammenheng var det helt uproblematisk .,0
"Betraktningsvinkelen fra sidene var meget bra , du kan godt invitere 4 venn( inn ) er til å sitte ved siden av deg og se på skjermen uten at noen på sidene vil få dårligere bilde .",0
"Vertikalt er det derimot ikke spesielt imponerende , her forsvant rødt med det samme vi reiste oss opp og så ned på skjermen .",1
Lydkvalitet,0
"190G6 kan kobles til et eksisterende lydkort med vanlig stereo minikack , men det er også en innebygd USB-lydenhet .",0
"En driver må installeres , så er det bare å velge denne USB-lydenheten i stedet for den som sitter integrert eller montert i PCen .",0
Vi ble ikke imponert over lydstyrken .,1
Ut fra størrelsen på subwooferen og de fire høyttalerene i skjermen hadde vi ventet oss en noe kraftigere lydstyrke .,1
"Lydbildet er ok , men det vrenger fort når du skrur volumet over 90 ( det går til 100 ) .",1
"Det er egen volumkontroll på sub-wooferen , og den settes typisk i nærheten av midtstilling , avhengig av rom og plassering .",0
"Til spill og bakgrunnsmusikk er lyden ok , men vi hadde ønsket at den var kraftigere , og dermed jobbet lettere på moderat høye nivåer .",1
Den sliter litt også før den kommer opp i nærheten av maksområdet .,1
Konkluskjon,0
"Skjermen er spesiell , men den er god å betjene og har bildekvalitet godt over gjennommsnittet .",0
"Lyden er ikke like imponerende , men den holder på gutteværelset .",1
I hvert fall når man ikke er alene hjemme ...,0
Liten storfilm,0
"« The Descendants » ( Etterkommerne ) er egentlig en ganske « liten » film , men med store spørsmål inne i seg .",0
"Det handler om en travel advokat på Hawaii , som plutselig får livet snudd på hodet , når hans initiativrike hustru blir hardt skadet i en ulykke .",0
Først må han ta vare på sine to døtre - noe han aldri har gjort før .,0
Så må han ta tak i sin egen storfamilies hovedutfordring :,0
"Som etterkommere av en polynesisk prinsesse , eier de et stort stykke land - verd ufattelige mye penger dersom det selges til utbygging .",0
"Det store med denne filmen , er at den tar utfordringen med skikkelig behandling av noe så vanskelig som mellommenneskelige forhold .",0
Etter filmer som « Sideways » og « About Schmidt » må vel regissør Alexander Payne sies å være en slags ekspert på dette .,0
Kjenner vi egentlig våre nærmeste ?,0
Prioriterer vi riktig i hverdagen ?,0
"Hvordan forvalter vi vårt ansvar , som enkeltindivider og samfunnsborgere ?",0
George Clooney er mannen som bærer det hele på sine ikke alt for brede skuldre .,0
Og han gjør det enormt godt .,0
Uten store geberder gjennomlever han en livsomveltende krise .,0
Man opplever en intelligent skuespiller flink nok til å holde igjen - dog alltid tydelig nok i alt han foretar seg .,0
"Her er han , på mest mulig overbevisende måte , en helt « vanlig mann » .",0
"Ikke glamorøs , nokså tydelig litt aldrende , helt tydelig meget sårbar .",0
"Interessant er også beskrivelsen av Hawaii , ofte nok beskrevet som en « paradis » .",0
Denne gangen mye mer trivielt eksponert - dog med sine helt særegne skikker og tradisjoner og historie .,0
Så på flere plan makter denne filmen ikke bare å underholde og vise følelser - men også gi interessant ny kunnskap .,0
Det er godt gjort !,0
Halvhjertet helhet,1
The New Pornographers :,0
Together,0
"Trygt og godt album fra The New Pornographers , men det er ikke slik vi vil ha dem .",1
Et eller annet sted like etter Twin Cinema ( 2005 ) bestemte The New Pornographers seg plutselig for å bli et ordentlig band .,0
"Dette var en forferdelig avgjørelse for de av oss som hadde elsket dem tidligere , for det betød i dette tilfellet at medlemmene skulle dra i samme retning – albumene skulle bli mer helhetlige og lyden skulle være mer polert og avrundet .",1
"Resultatet ble det søkk kjedelige Challengers ( 2007 ) , der den tidligere så refreng-eksplosive AC Newman plutselig ble innviklet og innadvendt , Neko Case aldri turte å gaule i så det skrallet i veggene ( som på Mass Romantics mest rystende øyeblikk ” Letter From An Occupant ” ) og surpompen Dan Bejar fikk skrudd låtene dit han ønsket : mot det dølle Dylan-terrenget der hans andre band Destroyer har ligget og fått altfor mye positiv oppmerksomhet i en årrekke nå .",1
"Kanadiernes tvangstanke om å ville bli dissosiert med powerpopsjangeren førte dem altså på mange måter inn i anonymitet , noe de til en viss grad har gjort noe med her på Together ( eksempelvis viser ” Your Hands ( Together ) ” , ” Together ” og ” Silver Dollar Jenny ” god form ) .",1
Dessverre insisterer de fortsatt på en unødvendig kompleksitet ( ”A Bite Out,0
"Of My Bed ” og ” Daughters Of Sorrow ” har fantastisk anslag , men føles fort overlesset med vendinger ) , og noen ganger lager de ballader som ikke hører hjem noen steds ( gjespefesten ” My Shepherd ” ) .",1
"Jevnt over føles det som om de holder igjen på sin egen popteft , jamfør denne trangen til å fjerne seg fra powerpoppen , og dette har vi også sett på den nedadgående utviklingen på AC Newmans solodiskografi – den en gang så virile hovedmannen bak totusentallsklassikere som ” The Slow Descent Into Alcoholism ” , ” All For Swinging You Around ” , ” Use It ” , ” The Laws Have Changed ” , "" Twin Cinema "" og et dusin andre .",1
"På Together låter de større , mer gjennomtenkt og tryggere på seg selv enn tidligere , men The New Pornographers ’ styrke har alltid vært rastløsheten og de kreative forskjellene innad i bandet .",1
Når de nå fremstår som et helhetlig band har det meste av magien forsvunnet .,1
Die Hard 5 :,0
Bedre enn bra nok,0
"Action-scenene bærer den femte "" Die hard "" -filmen , for det finnes verken engasjerende følsomhet eller elegante replikker mellom far og sønn McClane når de destruerer det som er igjen av Russland .",0
Og deretter spøkelseskraftverket i Tsjernobyl .,0
A good day to die,0
USA.,0
2013 .,0
"1 time , 37 minutter .",0
15 år .,0
Regi : John Moore .,0
Med :,0
"Bruce Willis , Jay Courtney , Sebasitan Koch , Yulia Snigir .",0
Er det sånn at du husker John McClane som en familiekjær steelcar-cowboy som kom dettende i hvit t-skjorte gjennom glassruter ?,0
Han gjør det igjen .,0
"Bruce Willis spiller politimannen fra New York helt på grensen til det utidig rutinerte , men han klarer seg akkurat , for han har fanden i øyerynkene og han kan si til og med ganske flate replikker med scenevant showsug .",1
Jeg får av og til en forstyrrende følelse av å se Han Innante med Modern Warfare-tunge automatvåpen .,1
Men det varer ikke så lenge .,0
Det er egentlig mest skallen som likner .,0
"Russerne er stort sett proteinhjerna torpedoer med panser-torsoer , og de ser ut som analfabetiske statister fra en Dolph Lundgren-film .",1
"Det er det tunge , heftige actionkjøret som redder filmen når « Max Payne » -regissøren John Moore slipper løs sin vedvarende utryddelsesstøy på sart høyttaler-elektronikk .",1
"« Die hard » var den selvutslettende omsorgens film , der Willis trengte inn i en kapra skyskraper med sitt uutslettelige sprangridning-utrop « yippi ki yay » .",0
Han redda den perfekte hustru-skuespilleren Bonnie Bedelia og blødde overfladisk .,1
Mannen var motoren .,0
25 år seinere er det maskinen som er mester .,0
"Allerede tidlig i filmen gjennomfører Moore et demolition derby gjennom Moskvas gater der Willis på sitt beste overkjører rushtrafikken i sin robuste Mercedes , mens bilmerker fra flere verdenshjørner kaster seg rundt i sanseløse turnoppvisninger og blir knust til resirkulasjonsmaterale som tyggegummi-Ladaer .",0
Biler i spagaten .,0
Biler i pilates-stillinger .,0
"En del av dette er nok computergrafikk , men mye nok ser ut som stunts .",1
Vi liker det .,0
Skikkelig vond jernverk .,1
Og særlig i naboskapet til rikelige eufemiseringer av det vi som barn kalte plaffing .,0
Handlingen starter som pysestoff .,1
"En fengsla dissident blir trua av en slags russisk Alec Baldwin som påstår at han eier alle i rettssalen , en påminnelse om det vidunderlige demokratiet som oppsto etter Gorbatsjov .",0
"På nattklubb der menn sikkert snakker respektløst til unge jenter , skyter McClanes sønn John en rik mann og blir arrestert .",0
"Det gjør at den amerikanske politimannen må ta Aeroflot til Moskva for å redde gutten , men ting er ikke helt slik de ser ut .",0
Jeg røper ikke det .,0
"Sønnen er sur og McClane litt defensiv , og for å være helt ærlig ønska jeg at de skulle komme bort fra hverandre ganske kvikt .",1
"Det er slutt på den tida da film-ungdom var spedlemma , men pene små fyrer .",0
"Den unge McClane spilles av den unge australieren Jay Courtney fra tv-serien « Spartacus » , som er omtrent like høy som Willis , men er firkanta som en Minecraft-Steve .",0
Han har fjeset og humøret til Vinnie Jones og blir ikke tålelig før han omsider smiler .,1
"Far og sønn driver med kjerringaktig småkrangling , og samtalene kommer ikke til å skape forventninger om at replikk-forfatterne i USA er på bedringens vei .",1
Både dattera til den antatte Komarov og unge McClane sutrer om at fedrene bare var på jobb hele tida .,0
I ei tid da halve USA går arbeidsledige klager denne filmen på de som faktisk utøver et yrke .,1
"Det er ikke bare sviskete Oprah-skitt , men politisk umusikalsk i tillegg .",1
Filmen redder seg av gårde til det mest uventa stedet i verden .,0
Skurkene ikler seg drakter som ville ha holdt infuensaen ute i en heftig stavangervinter og tar seg inn i spøkelsesverket i Tsjernobyl .,0
"Dit kommer også McClane-familien i tynt sommertøy , og de gir seg ikke før skurker blir rotorkutta slik man ellers bare ser i Happy Wheels ( sjekk google ) .",0
"Hvis folk ikke hadde snakket til hverandre i det hele tatt , ville denne filmen vært perfekt .",1
Nå er den bare litt mer enn bra nok .,1
Følg meg på Twitter :,0
@arilabra,0
Gutta på tur,0
Velspilt komedie med alvorlige undertoner .,0
Barndomsvenner .,0
"Ordet smaker søtt , smaker sommer og saltvann og peanøtter .",0
"Venner for livet , liksom .",0
Jadda .,0
Som om .,0
"For plutselig er man andre steder , på hvert sitt sted , og det som var , er ikke lenger .",0
Så er spørsmålet :,0
Kan vennskapet fastholdes ?,0
Er det overhodet et vennskap lenger ?,0
"Kjente vi hverandre , egentlig ?",0
Regidebutantene Julian Hagemann og Andreas Lisberg stuper inn i tematikken med fin sans for timing og typetegning .,0
I en særdeles effektiv åpningssekvens settes både rammen og personene .,0
"Den bokstavelig og billedlig talt syklende studenten Jo ( Øivind Vogt ) , trygghetsnarkoman , konfliktsky og samboer med Ane .",0
"Kjekke , men heller kjedelige Mikkel ( Sindre Horseby ) .",1
"Utagerende og rølpete Lasse ( Simen Aurstad Gjernes ) , som fortsatt bor hjemme hos mamma .",1
Stoffern ( Benjamin Helstad ) som har begynt å slå seg opp som eiendomsmegler .,0
"De er i tyveårene , og fortsatt der hvor man kan se hvordan de var som guttunger , da vennskapet mellom dem oppsto .",0
"De treffes ikke så ofte lenger , men når de møtes , skal de gjøre de gamle greiene .",0
De har særlig en tradisjon å ta vare på : den årlige gutteturen på hytten til Jos foreldre .,0
Det blir en tur med flere nisser på lasset .,0
"Anes bikkje , blant annet .",0
"Andre , ikke spesielt velkomne folk .",0
Personlig drass .,0
Ting skjer som kaster nytt lys over både vennskapet og særlig en av guttene .,0
Han som kanskje trenger disse kompisene mest .,0
"Hagemann og Lisberg etablerer raskt en frisk og lekende tone , full av autentiske dialoger og gjenkjennelige situasjoner .",0
Her er mye å le av .,0
"Under det hele ligger et drag av noe som kanskje ikke er vemodig , det er snarere forgangent , og bidrar — til et visst punkt , til det komikkens skjær som ligger over disse kompisenes samvær og den maskuline hjelpeløsheten som etter hvert utspiller seg .",0
"« Å begrave en hund » er ingen ambisiøs eller dristig film , verken formmessig eller i måten temaet behandles på .",1
Men den preges av en fin blanding munter ærlighet og vilje til å stå lenge nok i alvoret til at tøyset får en nødvendig klangbunn .,0
Dessuten er den velspilt .,0
"Vogt og Gjernes har de mest takknemlige rollene , og fyller dem med stort nærvær og mye komisk talent .",0
"Små , innklippede videosnutter skaper god rytme og nærhet , og fungerer som en enkel , men fiffig tematisk kommentar .",0
"Filmen flyter ellers litt vimsete hit og dit , i tråd med både typer og vekslende stemningsleier .",1
"Slik sett har den en indre stringens , også der hvor manus synes å la en tråd henge løs av hensyn til dramaturgien .",0
"Det skjer idet det oppstår en situasjon hvor en av guttene skal , og bør , dra fra øyen .",0
"Han venter på en ferge , den viser seg å gå om flere timer .",0
Guttene disponerer egen båt .,0
Ingen tilbyr seg å skysse ham over .,0
Fergeturen forsvinner i det blå .,0
"Ingen evner å ta grep om noe , ingen makter å si det som må sies .",0
Filmen borer ikke dypt nok til at det vonde kjennes virkelig vondt .,1
"I stedet for å svi der det skulle svi , tenderer den mer mot å hvile i en tilstand av trykkende taushet .",0
"Det er for så vidt også en fin refleksjon av typene og relasjonene den skildrer , men hadde filmen vært en anelse hardere i klypen , ville den som komedie truffet enda nærmere blink .",1
Er du enig med vår anmelder ?,0
Chris Rea :,0
« The Blue Jukebox »,0
( Edel ),0
Britiske Chris Rea fortsetter å dyrke bluesen sammen med sine franske musikere .,0
Chris Rea fortsetter blues-stilen som han vendte tilbake til på sin forrige plate « Stoney Road » .,0
"Den nye platen , med 13 låter signert Rea , appellerer mer til blues- enn til popfansen .",0
"Hans hese , litt såre stemme kler bluesen , men denne platen kommer neppe til å bli blant hans største kommersielle suksesser .",1
"Det er en nokså ordinær og jordnær plate , der den gode åpningen « The Beat Goes on » ikke blir fulgt opp gjennom resten av produksjonen .",1
Best er han i « Baby don't cry » og « Somebody Say Amen » .,0
Disse tre er platens beste sanger .,0
Fin tone i stemmen,0
Natnael « Natti » Asgedom kom inn i finalen som sistemann .,0
Han fremførte « Is This Love » av Bob Marley .,0
"- Det er ingen andre som koser seg så mye som deg , sa Kurt Nilsen og la til at han håper å se Natnael vidre .",0
VG anmelder Morten Ståle Nilsens dom :,0
Natti setter selv fingeren på problemet :,0
Dette er en så velkjent sang at det er vanskelig å sette et nytt preg på den .,0
"Men han prøver , og kommer nærmest i det andre verset .",0
"Det første blir forsiktig amatøraften , komplett med ubekveme « moves » .",1
"Men han har en fin tone i stemmen , og potensial til å bli varmere i trøya .",1
Teskjekjerringa,0
Mye snodig er nødt til å foregå bak kraniet til Vilde Tuv - et sted det godt kunne vært enklere å få slippe inn .,1
“ Naivt ” og “ drømmende ” er to eldgamle adjektivklisjeer i musikkskribentgloseboka .,0
"Men det bergensbaserte enkvinnesbandet Vilde Tuv - hvor kun hun selv , baritongitar og basstromme står disponibelt - må være det nærmeste man kommer å få høre vuggesanger like håndgripelige som uhåndgripelige .",0
En del av grunnen ligger riktignok i den visuelle presentasjonen .,0
"For bak sortkledde Tuv står det reist en halvmåneformet vegg , der kaleidoskopiske animasjoner ( signert kunstneren Birk Nygård ) av vindmøller , planeter , galakser og arkaiske symboler roterer “ hypnotisk ” på lag med musikken .",0
Passende nok flyter tidvis gitarplukking ut i periferien og skaper en subtil ambiens ikke ulikt universet til Seattle-musikeren Grouper .,0
"Barnligheten kommer imidlertid til uttrykk gjennom Tuvs tekster , som trolig vil kunne bli godt mottatt blant nysgjerrige krapyler på Miniøya .",0
"Der eksempelvis to av låtene er titulert “ Tyngdekraft ” og “ Cellevevet ” , tar en låt for seg at “ det er så mye som blir bedre når man blir stor ” , mens en annen - som visstnok flere andre - handler om den ene av de fem sansene .",0
“ For det er fem sanser ?,0
Ja .,0
"Mange av sangene handler egentlig om den sansen , ” forklarer hun distré , uten at hun eller strofene svarer på hvilken sans det er snakk om .",0
"Hodet hennes virker med andre ord å være tusen steder på samme tid , et karaktertrekk man gjerne finner hos medbergenserne Fjorden Baby !-frontmann Sturle Kvilekval eller Christian Stockhaus fra all-nonsense-bandet Ungdomskulen .",1
Snakker om sola :,0
"Stockhaus og Vilde Tuv har sammen gitt ut en av de kuleste låtene så langt i år , i form av det übersløye elektropopsporet “ Svømmebasseng ” .",0
"I denne settingen passer den imidlertid ikke inn , hvilket er synd , fordi låta er fortsatt den klart mest umiddelbare Tuv har medvirket i .",1
Seilende under sitt eget skrudde flagg finnes det enkelte - men ikke nok - hjelpere til å finne veien helt inn i hennes verden .,1
Spillanmeldelse :,0
« Beyond Good & Evil HD »,0
( VG Nett ),0
Ubisoft varter opp med et herlig gjensyn med en skammelig forbigått sjarmbombe av et spill .,0
I 2003 forsøkte Ubisoft å skape en actionheltinne og en spillopplevelse som tilførte dybde i en spillverden og en genre hvor det mer umiddelbart tilfredsstillende dominerte .,0
"« Beyond Good & Evil » hadde en uredd fotojournalist i hovedrollen , og tematikken sneiet innom temaer som politisk undertrykkelse , slaveindustri , krig og revolusjon .",0
"Pakket inn i en engasjerende sci-fi-historie og givende , « Ratchet & Clank » -lignende spillbarhet .",0
"Anmelderne jublet , men spillerne trakk på skuldrene og viste Ubisoft og spillskaper Michel Ancel ryggen .",1
"Kanskje var det bare uheldige tilfeldigheter , kanskje ble spillet oppfattet som utilgjengelig og arty-farty eller kanskje var det noen år forut for sin tid .",0
"I så fall er muligens tiden mer moden nå , syv og et halvt år senere .",0
"Nå slippes spillet i HD-oppusset versjon på Xbox Live Marketplace og Playstation Network , og det er fremdeles snakk om en kruttsterk opplevelse .",0
"Det er riktignok umulig å ignorere at teknologien har tatt enorme skritt siden den gang , og at endel av designvalgene nå kan fremstå som litt vel gammeldagse .",1
« Beyond Good & Evil » var utvilsomt mer interessant satt opp mot spillmarkedet anno 2003 .,1
"Men det at det fremdeles er såpass givende , underholdende , engasjerende og spennende tyder på et bunnsolid designfundament .",0
"Jeg liker dette universet , jeg er glad i Jade , Pey'j og det øvrige rollegalleriet , jeg koser meg med de givende oppdragene , jeg elsker tematikken og spillet i seg selv er veldig underholdende .",0
Og det er tross alt vel så viktig som spillets spillhistoriske betydning .,0
PS :,0
Ute nå på Xbox Live Marketplace med en prislapp på 800 MS-poeng ( ca . 100 kroner ) .,0
Kommer på PSN i 2. kvartal .,0
BEYOND GOOD & EVIL HD Plattform : 360 Genre :,0
Action / eventyr Alder : 12 Utvikler :,0
Ubisoft Utgiver :,0
Ubisoft,0
Mer info,0
Enestående spill-magi,0
"Avlys alle avtaler og gled deg til nok et magisk , enormt , fantastisk og oppslukende « Zelda » -eventyr .",0
Det finnes neppe noen mer elskede spillserier enn « Zelda » .,0
Helt siden starten i 1986 har det ene « Zelda » -spillet etter det andre bergtatt eventyrlystne over hele verden .,0
Og det er med stor glede og et fårete glis om munnen jeg kan konstatere at « The Legend of Zelda :,0
Twilight Princess » ikke er noe unntak .,0
"Det er i steden , i mine øyne , det kanskje beste spillet i serien til nå .",0
Et fantastisk og episk eventyr som sakte men sikkert vokser og vokser helt til hjertet mitt holder på å eksplodere av pur lykke .,0
Historien og oppbyggingen av spillet er velkjent .,0
Det starter særdeles rolig og avslappet i en søvnig og idyllisk liten landsby .,0
"Men en ondskap er i ferd med å spre seg , og truer med å ta over fantasiverdenen spillet foregår i .",0
"Dermed blir det opp til spilleren , som tar på seg rollen som den utvalgte frelseren Link , å redde både prinsesse Zelda , kongeriket Hyrule , vennene fra landsbyen og til syvende og sist hele verden .",0
Fra den spede starten legges den ene nye egenskapen og gjenstanden etter den andre til .,0
Stadig nye områder å utforske åpner seg opp .,0
Historien tar plutselige og dramatiske vendinger .,0
"Og før du vet ordet av det , er du fullstendig oppslukt i det som skjer .",0
Et magisk eventyr på flerfoldige titalls timer ligger foran deg .,0
Det er bare å rydde plass i kalenderen med en gang - inntil « Twilight Princess » er fullført vil du neppe ha lyst til å gjøre noe annet .,0
Alt sitter som et skudd .,0
"Fra den nydelige visuelle stilen til det herlige lydbildet , den nostalgiske musikken , slåssingen mot monstere , utforsking av grotter og andre områder og kreativ bruk av diverse hjelpemidler for å komme videre .",0
For å nevne noe .,0
Det er i det hele tatt ikke langt mellom gåsehudøyeblikkene i dette spillet .,0
Og det mener jeg bokstavelig .,0
« Twilight Princess » er så bra at jeg får gåsehud bare av å tenke på det - en svært sjelden begivenhet for en som spiller såpass mye som meg .,0
Wii-håndkontrolleren er dessuten utnyttet på en eksemplarisk måte .,0
"Du bruker den til å sikte med pil og bue , til å svinge sverd , til å fiske og til mye annet .",0
"Etter en tilvenningsperiode på rundt en halvtime , føles det både selvfølgelig og naturlig .",0
"Nintendos nye spillkonsoll kunne i det hele tatt ikke ha bedt om noe bedre lanseringsspill , selv om Gamecube-eiere muligens ikke vil gå glipp av mye dersom de går for Gamecube-versjonen 15. desember .",0
For det er nok spillet i seg selv - og ikke Wii-håndkontrolleren - som gjør « The Legend of Zelda :,0
Twilight Princess » til et av tidenes beste konsollspill .,0
Den dypt elskede Zelda-serien får snart et nytt kapittel med Wii-spillet « The Legend of Zelda :,0
Twilight Princess » .,0
Slik blir spillet .,0
Götze :,0
- Skylder kjæresten min mye,0
RIO DE JANIERO / OSLO ( VG ) ( Tyskland - Argentina 1 - 0 ) Mario Götze ( 22 ) kom inn fra benken og gjorde Tyskland til verdensmestere på egen hånd med en fantastisk volley i ekstraomgangene .,0
- Det er utrolig hvordan vi alle har jobbet for dette .,0
"Dette er en utrolig følelse , jublet kaptein Philipp Lahm etter sin første VM-triumf i karrieren .",0
Avgjørelsen på VM-finalen 2014 falt så sent som i det 112. minutt da innbytter André Schürrles innlegg fra venstresiden fant en annen innbytter inne i Argentina-boksen .,0
"Mario Götze erstattet tidenes mestscorende i VM-historien , Miroslav Klose , etter 88 minutter .",0
Da innlegget kom svarte Bayern München-spilleren med en scoring på ekte goalgettervis .,0
22-åringen dempet ballen fantastisk elegant på brystet før han sendte av gårde en liggende volley i lengste hjørnet bak en fortumlet Argentina-keeper Sergio Romero .,1
"Matchvinneren møtte pressen i spillerutstyr og sandaler på pressesenteret i Rio , etter at laget hadde fått summet seg i garderoben .",0
- Det var en utrolig følelse .,0
"Jeg vet ikke hva som skjedde , jeg bare skjøt .",0
"Det som skjer etter kampen , å ha denne festen med dette laget , det er en drøm som går i oppfyllelse .",0
"Jeg vet nesten ikke hva jeg føler , dette er helt sensasjonelt , sa Götze .",0
- Det har ikke vært et enkelt år for meg og ikke en enkel turnering .,1
"Jeg skylder mye til familien og kjæresten min , som har trodd på meg .",0
Jeg er veldig glad for at vi har vunnet dette .,0
"Jeg har fortsatt trent med laget , og hver eneste spiller fortjener å bli nevnt .",0
Vi har fortjent dette trofeet .,0
"Mario Götzes kjæreste er den tyske modellen Ann-Kathrin Brömmel , som blant annet har figurert i spaltene hos den tyske utgaven av herremagasinet GQ.",0
- Beskriver laget,0
"- Måten vi scorer målet på beskriver dette laget , sier Thomas Müller , Tysklands toppscorer i mesterskapet med fem mål .",0
"- Vi har kjempet så hardt for dette , jeg har ikke ord .",0
Nå hylles de nybakte VM-vinnerne av tidligere tyske helter .,0
- Et sensasjonelt mål av Götze !,0
Disse ungdommene fortjente å bli verdensmestere .,0
"De er våre verdige etterfølgere , sier Andreas Brehme til den tyske avisen Bild .",0
Brehme ble matchvinner fra straffemerket sist gang Tyskland vant en VM-finale - mot nettopp Argentina i Italia i 1990,0
Dermed gjorde Tyskland akkurat som de gjorde mot Argentina i VM-finalen i 1990 :,0
De vant 1 - 0 .,0
Den gang etter scoring av Andreas Brehme .,0
"Og i 2014 var det altså unggutten Mario Götze som ble den store helten , til tross for at han ikke har vært fast på det tyske laget de siste VM-kampene .",0
Det var en relativt nedtonet og lavmælt Argentinsk trener som møtte pressen etter nederlaget i finalen :,0
"- Jeg er trist for at vi ikke klarte å vinne turneringen , men jeg er veldig stolt over laget , som utførte en strålende kamp .",1
Kampen hadde sine opp-og-ned-situasjoner .,0
"Vi hadde klare sjanser , sa Alejandro Sabella , for anledningen i skjorte og slips .",0
Argentina-treneren nevnte også det faktum at Argentina-spillerne hadde flere minutter i beina før kampen .,0
- Vi hadde spilt to ekstraomganger og vi hadde en dag mindre hvile .,0
Generelt er jeg veldig stolt .,0
Guttene har spilt en ekstraordinær VM-turnering .,0
De har lagt igjen alt de har på banen .,0
Sabella tok Argentina nærmere VM-gull enn de har vært på mange år .,0
Allikevel fikk han spørsmål om han sitter trygt i trenerstolen .,0
- Dere må bli lei av at jeg stadig gjentar dette .,0
Jeg kan ikke snakke om fremtiden .,0
"Fremtiden min nå er å være med spillerne , støtteapparatet , familien min .",0
"Så jeg vet ikke hva jeg skal si , svarte Sabella .",0
"- Når du kommer til finalen vil du vinne , men jeg sitter også igjen med en følelse av være tilfredsstilt , av å ha gitt alt , avsluttet Sabella før han forlot salen til applaus fra flere av journalistene .",0
Veteranene gråt,0
Tyskland har hatt et fantastisk mesterskap og de fleste så på « Die Mannschaft » som den store favoritten til VM-gullet etter den vanvittige 7-1-seieren over Brasil i semifinalen .,0
Den spådommen ble ikke gjort til skam .,0
Götze gjorde også at flere av de aldrende Tyskland-spillerne endelig fikk løfte VM-trofeet før karriereslutt .,0
Etter kampen var det blant andre veteranene Bastian Schweinsteiger og Thomas Müller som gråt mest over den enormt etterlengtede triumfen .,0
Argentina klarte aldri å svare på Götzes volley i sluttminuttene .,0
Ekspertene i VGs VM-studio mente perlemålet var en av tidenes vakreste scoringer som har avgjort et VM .,0
- Det er så perfekt utført !,0
"Han legger den perfekt til rette med kassa , og smeller den i lengste hjørne , sier talentspeider Stig Thorbjørnsen .",0
Dermed kunne både Tyskland-spillerne og den tyske fansen juble for trofeet de har vært nær ved å kapre flere ganger de siste tyve årene .,0
- Det ble tøffere enn forventet .,0
"En åpen kamp , sånn man ønsker at en slik stor finale skal være .",0
"Det hadde ingen betydning så lenge kreftene holdt , men vi må huske at argentinerne hadde én dag mindre pause og måtte ut i ekstraomganger i semifinalen , sier den tyske legenden Franz Beckenbauer til Bild .",0
"Mens tyskerne feiret og gråt om hverandre , satte Argentina-stjernen Lionel Messi seg på gresset med hodet mellom knærne .",0
"Han lyktes ikke med å ta sitt Argentina til VM-gull , som Maradona gjorde i 1986 .",0
"Real Madrid-stjernen Ángel Di Maria ble ikke klar til søndagens VM-finale , og virker helt sønderknust ute på gressmatta sammen med lagkameratene etter kampslutt .",0
"Lionel Messi mottok Gullballen , prisen for VMs beste spiller , etter kampslutt , men Argentinas store stjerne rikket ikke på smilebåndet da han gikk opp podiet og mottok prisen fra FIFA-president Sepp Blatter .",0
"En som derimot smilte fra øret til øret var Tyskland-keeper Manuel Neuer , som både kunne innkassere VM-gullet og Gullhansken , prisen for mesterskapets beste keeper .",0
Argentina nære,0
"Kampen var målløs helt frem til Götzes matchvinner-scoringen i det 112. minutt , men hadde nok av målsjanser .",0
